1.kolo,,22.03.2024
 Vegas Golden Knights,:, Arizona Coyotes
Vancouver Canucks,:, Chicago Blackhawks
 Dallas Stars,:, San Jose Sharks
 Los Angeles Kings,:, Minnesota Wild
 Nashville Predators,:, Edmonton Oilers
 Calgary Flames,:, St. Louis Blues
 Winnipeg Jets,:,Anaheim Ducks
2.kolo,,23.03.2024
 Arizona Coyotes,:,Vancouver Canucks
 San Jose Sharks,:, Vegas Golden Knights
 Chicago Blackhawks,:, Los Angeles Kings
 Edmonton Oilers,:, Dallas Stars
 Minnesota Wild,:, Calgary Flames
Anaheim Ducks,:, Nashville Predators
 St. Louis Blues,:, Winnipeg Jets
3.kolo,,24.03.2024
 San Jose Sharks,:, Arizona Coyotes
 Los Angeles Kings,:,Vancouver Canucks
 Vegas Golden Knights,:, Edmonton Oilers
 Calgary Flames,:, Chicago Blackhawks
 Dallas Stars,:,Anaheim Ducks
 Winnipeg Jets,:, Minnesota Wild
 Nashville Predators,:, St. Louis Blues
4.kolo,,30.03.2024
 Arizona Coyotes,:, Los Angeles Kings
 Edmonton Oilers,:, San Jose Sharks
Vancouver Canucks,:, Calgary Flames
Anaheim Ducks,:, Vegas Golden Knights
 Chicago Blackhawks,:, Winnipeg Jets
 St. Louis Blues,:, Dallas Stars
 Minnesota Wild,:, Nashville Predators
5.kolo,,31.03.2024
 Edmonton Oilers,:, Arizona Coyotes
 Calgary Flames,:, Los Angeles Kings
 San Jose Sharks,:,Anaheim Ducks
 Winnipeg Jets,:,Vancouver Canucks
 Vegas Golden Knights,:, St. Louis Blues
 Nashville Predators,:, Chicago Blackhawks
 Dallas Stars,:, Minnesota Wild
6.kolo,,06.04.2024
 Arizona Coyotes,:, Calgary Flames
Anaheim Ducks,:, Edmonton Oilers
 Los Angeles Kings,:, Winnipeg Jets
 St. Louis Blues,:, San Jose Sharks
Vancouver Canucks,:, Nashville Predators
 Minnesota Wild,:, Vegas Golden Knights
 Chicago Blackhawks,:, Dallas Stars
7.kolo,,07.04.2024
Anaheim Ducks,:, Arizona Coyotes
 Winnipeg Jets,:, Calgary Flames
 Edmonton Oilers,:, St. Louis Blues
 Nashville Predators,:, Los Angeles Kings
 San Jose Sharks,:, Minnesota Wild
 Dallas Stars,:,Vancouver Canucks
 Vegas Golden Knights,:, Chicago Blackhawks
8.kolo,,13.04.2024
 Arizona Coyotes,:, Winnipeg Jets
 St. Louis Blues,:,Anaheim Ducks
 Calgary Flames,:, Nashville Predators
 Minnesota Wild,:, Edmonton Oilers
 Los Angeles Kings,:, Dallas Stars
 Chicago Blackhawks,:, San Jose Sharks
Vancouver Canucks,:, Vegas Golden Knights
9.kolo,,14.04.2024
 St. Louis Blues,:, Arizona Coyotes
 Nashville Predators,:, Winnipeg Jets
Anaheim Ducks,:, Minnesota Wild
 Dallas Stars,:, Calgary Flames
 Edmonton Oilers,:, Chicago Blackhawks
 Vegas Golden Knights,:, Los Angeles Kings
 San Jose Sharks,:,Vancouver Canucks
10.kolo,,20.04.2024
 Arizona Coyotes,:, Nashville Predators
 Minnesota Wild,:, St. Louis Blues
 Winnipeg Jets,:, Dallas Stars
 Chicago Blackhawks,:,Anaheim Ducks
 Calgary Flames,:, Vegas Golden Knights
Vancouver Canucks,:, Edmonton Oilers
 Los Angeles Kings,:, San Jose Sharks
11.kolo,,21.04.2024
 Minnesota Wild,:, Arizona Coyotes
 Dallas Stars,:, Nashville Predators
 St. Louis Blues,:, Chicago Blackhawks
 Vegas Golden Knights,:, Winnipeg Jets
Anaheim Ducks,:,Vancouver Canucks
 San Jose Sharks,:, Calgary Flames
 Edmonton Oilers,:, Los Angeles Kings
12.kolo,,27.04.2024
 Arizona Coyotes,:, Dallas Stars
 Chicago Blackhawks,:, Minnesota Wild
 Nashville Predators,:, Vegas Golden Knights
Vancouver Canucks,:, St. Louis Blues
 Winnipeg Jets,:, San Jose Sharks
 Los Angeles Kings,:,Anaheim Ducks
 Calgary Flames,:, Edmonton Oilers
13.kolo,,28.04.2024
 Chicago Blackhawks,:, Arizona Coyotes
 Vegas Golden Knights,:, Dallas Stars
 Minnesota Wild,:,Vancouver Canucks
 San Jose Sharks,:, Nashville Predators
 St. Louis Blues,:, Los Angeles Kings
 Edmonton Oilers,:, Winnipeg Jets
Anaheim Ducks,:, Calgary Flames